id,account,password_hash,is_staff,is_admin,first_name,last_name,gender,email,phone,last_login,line_user_id,created_at,updated_at
11,patient_005,scrypt:32768:8:1$jmSplrnon8INEoFK$9cfb9c8cb7b9d2a14c08b19609e114dc736b2443e0faa0fae5afff2cbf9ad0149de16a89c87d190ec5fd36141e2c0901ad7149ac99b0e4ea54f7966b06dca139,False,False,承恩,李,female,patient_005@example.com,0996-668604,,Ua9aa17605b574498b17653b3ee527281,2025-08-10T14:26:39.817698+00:00,2025-08-10T14:26:39.817698+00:00
12,patient_006,scrypt:32768:8:1$iMxRTqApgw9FXE4X$2b9d22514ac6e71feea734a9c9248597c0cc9fb758a908b6d321c08b4f49fd610fc03eb35f10cbae4955afd61c8a7d74ba411af4160090f1a7c81ea39ff07d01,False,False,家榮,黃,other,patient_006@example.com,(09) 49147138,,U103049c13a4f4a86a3808169009fa55a,2025-08-10T14:26:39.817698+00:00,2025-08-10T14:26:39.817698+00:00
13,patient_007,scrypt:32768:8:1$P9CYVWAOAIUkqSaV$003b01312ce0165dbf04cd0a3e00bfad765a5cd2620ded18213a40f31130879f6dbcecac956637856ef07337080c635afc87158603ee0b3469e866e194d33c6b,False,False,雅婷,羅,other,patient_007@example.com,(02) 42211021,,U4adf8d25ba51479c834173a8e97f4aaf,2025-08-10T14:26:39.817698+00:00,2025-08-10T14:26:39.817698+00:00
14,patient_008,scrypt:32768:8:1$w64Qw62UB9p1XS5W$1da0f57ada4d183281570e06ed0ee0406f9c4732e18a56d34488da44d6c6d483ba36aa465ab881c56628be464570bfc7cc87c42a9ac0d0df1862d82b8c61db3e,False,False,子翔,劉,male,patient_008@example.com,030 25672744,,U8caded8535644945bce8e105951f8098,2025-08-10T14:26:39.817698+00:00,2025-08-10T14:26:39.817698+00:00
15,patient_009,scrypt:32768:8:1$iZH5qyEgoMAAmp5c$f90c4f3877f2eee26fe765d6b601ef068fd14bcbb616eebd315ff470c1d99efb21acbf61ff27a065d1b1593b456d54c40ddfb5cb70c35c49118bfb5e61521f03,False,False,俊佑,邱,other,patient_009@example.com,050 94260919,,U0bf1457c75d844bf80b00c12f20b6e53,2025-08-10T14:26:39.817698+00:00,2025-08-10T14:26:39.817698+00:00
16,patient_010,scrypt:32768:8:1$4j8Wnoz2i1MUkS71$c854c690846d7904cf1a87d6bc88daf7c64b179aa68e9b44829180bd5eb05943184f8aedfa8ff26c6a54d55b419a4cfa8401166dce23c20dc147e2d7c8d6f605,False,False,淑慧,江,male,patient_010@example.com,(01) 82043199,,U9a47b393926b4b2cbe7dcebc97a8e130,2025-08-10T14:26:39.817698+00:00,2025-08-10T14:26:39.817698+00:00
17,patient_011,scrypt:32768:8:1$iOfyeRwli5gGy9ll$9471c37a9cf5959e43e172b0a6342bc687f0021213d83832e3c0d98f7740120cf3cdb693d240ec874033106b551b5c8fa9fda618b4e2670f1cad74d2798b874f,False,False,素珠,蕭,female,patient_011@example.com,(08) 50772622,,U59d5a031db074df4802cb2cb6e1982fe,2025-08-10T14:26:39.817698+00:00,2025-08-10T14:26:39.817698+00:00
18,patient_012,scrypt:32768:8:1$idZYiQ08h7MH9sS3$8c890ed2dbae1f8e8d2f47328c7eefbdf66d07224d661c65af99696400e0c5bf1529690a1f11a62209443066685e01b942d5e8e8919960cc275ea5b6b080a842,False,False,美惠,楊,other,patient_012@example.com,(05) 15753772,,U39edca5e9aa24a7094fed8cb1c61f23d,2025-08-10T14:26:39.817698+00:00,2025-08-10T14:26:39.817698+00:00
19,patient_013,scrypt:32768:8:1$MaJYX6VgLk0UJRKz$9273641d76b0fdac598b02d9f87ad2bb32998733c6d648d7ebf27eafd100d8fa0f69f9a4b07fd98d8805280e7b159b50acc34b7620090f80c5951115248c2cda,False,False,芸菲,林,male,patient_013@example.com,06 4336523,,U0b3d0b7aa34f46ec9aa5006d1904e467,2025-08-10T14:26:39.817698+00:00,2025-08-10T14:26:39.817698+00:00
20,patient_014,scrypt:32768:8:1$mZ29pSuaZoYDJ9Ou$35629a81f01d5b5795552a9e4a7eff2017e648bbac93ef4a8e5f3916e7607dd07a300c18087b91860c4412f781389b8d4de3ac998fd49ce38270a3d1896445b2,False,False,淑卿,林,female,patient_014@example.com,(07) 41291361,,U37546a2621484be9b37d00e42c416090,2025-08-10T14:26:39.817698+00:00,2025-08-10T14:26:39.817698+00:00
21,patient_015,scrypt:32768:8:1$khexgwlFbebZEx3Z$c88a2536653664a551de48820e550bf017356cabbacb785b5b280dc7ffd40fcea9ae68e5ac9695b093a3d4a42eedcc998dca3dc6823a55811699ed56d7635ad6,False,False,寶珠,賴,female,patient_015@example.com,(05) 73853101,,Ub80005e7732342bd93ab2bdf39afa0e2,2025-08-10T14:26:39.817698+00:00,2025-08-10T14:26:39.817698+00:00
22,patient_016,scrypt:32768:8:1$30zPqdUswTh5wdmD$4e0084ed91b2b85b3008d474f9e8f0c3934b7ea7f09ab35f03103e229207000cb9e15950936ade3e0bc7eda79f2d6896df512c204bb1ce1d6f1a2af82ae096e6,False,False,怡君,潘,female,patient_016@example.com,(04) 72622058,,U761df965640b4001ac69c53ad8a0b20e,2025-08-10T14:26:39.817698+00:00,2025-08-10T14:26:39.817698+00:00
23,patient_017,scrypt:32768:8:1$UMbhE7LmuRsEfrPI$57ce88efadb088710a758763a3576b667ad9d45543fd6478ebc6e7ec4cdbc364c1b5203bfeca5b72dce1cb19d5936d4b2bb39128b13a169575f64e72c2c10bcb,False,False,志強,吳,female,patient_017@example.com,06-9734575,,U1fa98bc242e048de8eeb7c13d457915a,2025-08-10T14:26:39.817698+00:00,2025-08-10T14:26:39.817698+00:00
24,patient_018,scrypt:32768:8:1$JKxqsuDL2EoK5wMo$148e061b3186f40bf656f44071dfbfff55d1b0d47ba2fe166792f7dec31c33dcbe444127909a37367184d2af0c08a369e38b5643ddd2ad2fc0dc4203b7b59129,False,False,秀珍,賴,other,patient_018@example.com,08 1461950,,U39e3f8726aeb46808f45ca052b46f9f0,2025-08-10T14:26:39.817698+00:00,2025-08-10T14:26:39.817698+00:00
25,patient_019,scrypt:32768:8:1$vXOpwZjZjjGBkUWJ$db08434e5a83db9378da43fc17ad400407db1e850ccb3e03aac51bce6dcea8c8014922b5350b005fb4c13cc1b0241c93cf64b4049555254c8ccc4c298ff35b94,False,False,玉玲,柯,other,patient_019@example.com,04 8143190,,U045918d136e84ebd8e0506146a84bc39,2025-08-10T14:26:39.817698+00:00,2025-08-10T14:26:39.817698+00:00
26,patient_020,scrypt:32768:8:1$LAJa4wkqKPQ2Y0pn$c3cf37e256149418280b6b8cc447818bc2bfa7459bfefa4121cf5f9e1f6072a47d708a635bbf33da27404cc281b54269ae91cc5834c64965cecbde38caeb5622,False,False,家榮,洪,female,patient_020@example.com,0985607223,,U941ef481565c48938669fc220862c4b1,2025-08-10T14:26:39.817698+00:00,2025-08-10T14:26:39.817698+00:00
27,patient_021,scrypt:32768:8:1$RqmGTpvwZz5N9D38$1d4a7c8375c73f757b903447ff9254f5cd6100de82ba82a7a7002fa7f4dd8e2256701351eda2410f4f59ae758f2fe3b0f283b472ec9af3f3c4eb8d9f2c8d5c3b,False,False,玉蘭,曾,other,patient_021@example.com,0907-000533,,Ua7ec81c39fee43bb9fce2e310ae3e083,2025-08-10T14:26:39.817698+00:00,2025-08-10T14:26:39.817698+00:00
28,patient_022,scrypt:32768:8:1$zn5sIrEIXsYrnONH$41feef6e6396a88f31625a053fba42cc693907a7826ec06b01b685c051d8c6e142ba1fd37d43119907326da5ea563bf924eff28f56b761436d61b33ec6719674,False,False,秀梅,劉,female,patient_022@example.com,(00) 80476114,,Uc6702833ae97491a89342d6d6690406e,2025-08-10T14:26:39.817698+00:00,2025-08-10T14:26:39.817698+00:00
29,patient_023,scrypt:32768:8:1$IksOJcQd61XeVsOr$69ffd7ffa41986f8ed95ec640321497ab642a5cea00da06efa12879bc66570179a2d5a72915a709b3996bf3f75b56b6d702d0b731e342e8bf688122a2cc7d472,False,False,寶珠,林,female,patient_023@example.com,0989-838967,,U94eac31fd5b64de7af6354e02c3d8cb6,2025-08-10T14:26:39.817698+00:00,2025-08-10T14:26:39.817698+00:00
30,patient_024,scrypt:32768:8:1$a5VJlZNzMFeO5tU1$328e8e87910659f3b07c36b6e6a85c2c036cbe291e24a8e47f81b4ae2d54c21ec69daed50c8587d86f864d2d2435c76754c66e61a7a3f756495eeef8671e9edb,False,False,秀珍,林,female,patient_024@example.com,(06) 24686916,,Uacb6919e61044b60a359a1a473b3d7de,2025-08-10T14:26:39.817698+00:00,2025-08-10T14:26:39.817698+00:00
31,patient_025,scrypt:32768:8:1$JPaLUjimOkIzDpjl$c949b3aa2538e98c17b4908fd08011117ae6a7258602628df681e97a183702255aacd874b20857533d3cd1fe334c62c1587eda108b75bd0cb67db3bcd8582a0b,False,False,美玲,楊,male,patient_025@example.com,04-56040204,,Ub265655bc18a4c60bb61cf516060b61c,2025-08-10T14:26:39.817698+00:00,2025-08-10T14:26:39.817698+00:00
32,patient_026,scrypt:32768:8:1$QhzAz0lZdMMC2baC$c588db19a9600cad38dce45e3937e9d921804f172a77cccbf9ff2242e53ec5f772e0fc85fd16390ffbc87a6ef1392decd1568e4f31816247846f0033d52ddb42,False,False,麗玲,洪,female,patient_026@example.com,0977-388136,,U93344e2f72284dd69f02f9fb8b47eead,2025-08-10T14:26:39.817698+00:00,2025-08-10T14:26:39.817698+00:00
33,patient_027,scrypt:32768:8:1$4KzYY1HVRlD1i0LC$4527e41262adef563f316b1e6aa6481b3728f601b890c905888266807b79a049ccad6d81fdf00e69bc8f51ed864441c67832d23b7806dd8a7f1e62c094b67389,False,False,秀玉,林,female,patient_027@example.com,0958-298800,,U7ccb660c561741eca162cff4434229f5,2025-08-10T14:26:39.817698+00:00,2025-08-10T14:26:39.817698+00:00
34,patient_028,scrypt:32768:8:1$hnzKhMQyrzJKlg8r$a08e188c9c0add35a313cb432f369acfc6d3c3ea94f678485e0fa1ff57ea43c25a4cc5ed8d2f07c6a8ab78ccb5395e3e9ffd2b36c94937ffedd2df0f1a588567,False,False,家豪,吳,male,patient_028@example.com,(01) 29779553,,Ue8f9a66a563d4ff7a3bfef727e719f85,2025-08-10T14:26:39.817698+00:00,2025-08-10T14:26:39.817698+00:00
35,patient_029,scrypt:32768:8:1$TCrzmQdzHedBbNsg$a74702e0b169c68a550c36820653ba92066982e8d782ac93d45586f35b89e9fa79eb8e652b0959bbe440f64d66d3b7b89daddd44283f9c201092dee2dfe96ce1,False,False,宜庭,吳,other,patient_029@example.com,06-5712688,,Uc9044476c51a45da97cd235a4d713cab,2025-08-10T14:26:39.817698+00:00,2025-08-10T14:26:39.817698+00:00
36,patient_030,scrypt:32768:8:1$cWgVvKr2eJeGLn9V$ccfdf6c6566ff1917ed9ac89d3beb1cbcceef6cc7ea1e77752ff6c0a1420c32af7f44028dcabe544765c1e8abe395736e7596156d77c1a408befba6597051084,False,False,進興,吳,female,patient_030@example.com,05 8588188,,U23954cae8d034990955bd85484b1b4d4,2025-08-10T14:26:39.817698+00:00,2025-08-10T14:26:39.817698+00:00
37,patient_031,scrypt:32768:8:1$tF2OwtQCH2pVMx3N$f12212895ca02595a0d5cee4eaa4cf0af3b5249339a948ac8707b07887b0c333d5df74786b15e22e45b860c740ea61a56f993f3e9e85f6cf807255abc6fcae58,False,False,雅雯,胡,other,patient_031@example.com,08-4037644,,U1b988c570cbb471480a998283eb33c21,2025-08-10T14:26:39.817698+00:00,2025-08-10T14:26:39.817698+00:00
38,patient_032,scrypt:32768:8:1$4T1Xue2hgZ9hzm9e$5a6bedc941840e8e904758bb457252cf8f2ef9fab6bd56de4cc4a1894714f6ca55799490414b2a196bc2a358b6f8a11e530087c942e693a55b097e1748946c2e,False,False,秋香,吳,other,patient_032@example.com,02 5397256,,Ud690b2b193574187ae9504a93b0c8706,2025-08-10T14:26:39.817698+00:00,2025-08-10T14:26:39.817698+00:00
39,patient_033,scrypt:32768:8:1$zVLSvjF4IFVaup1g$ae98e5f88a2693d9371946fb1852ef4c249a61e3c5d98f4720feb31e14d26dcb1d763d7b2888a9c92c4012ffbd416b9cc6b6584d4819d887ae99f66a200351c0,False,False,金龍,林,female,patient_033@example.com,(00) 55160866,,Uc4deda7b553e4f389a7317eb38332f85,2025-08-10T14:26:39.817698+00:00,2025-08-10T14:26:39.817698+00:00
40,patient_034,scrypt:32768:8:1$7dREKoKN599MV0hy$7aee94ef691b28e191ecd82b8a5b424d34669172c18b075006a566a94bff0ffcf5f4d3be5ed9815e977d90a8b53a70026e4ed1f599caf3fb91b870aad37d7a2b,False,False,家宏,簡,male,patient_034@example.com,01-27062365,,Uea22ff328fbf407cb74d0d3ac8eb4afd,2025-08-10T14:26:39.817698+00:00,2025-08-10T14:26:39.817698+00:00
41,patient_035,scrypt:32768:8:1$bKQYDZNwj1peGbdj$45a002475d7ce8f9b0b1d878a35bceb7538ea16f6ceba58ac3c614db18171ec97c22d544d882c159945913c7dc858a75dcbc2b782b8c4b24e1377e47b411a6ca,False,False,月英,江,female,patient_035@example.com,005 45618326,,U73472dcbd53943d49c49aa72749d1cfc,2025-08-10T14:26:39.817698+00:00,2025-08-10T14:26:39.817698+00:00
42,patient_036,scrypt:32768:8:1$1VJ5YY8UhBeTE3qq$1d0102126f7d304c727f3184c7eb9a78c3efe059b1b7f27ffe18f51c395cfdbcd69d8d08c8ea024866c6ba21bb7e21ae8cca0ee82c44fc122dafeb496f5a3076,False,False,怡萱,林,female,patient_036@example.com,0971129018,,U1f187e76497a488bab40e5b5156b2e9f,2025-08-10T14:26:39.817698+00:00,2025-08-10T14:26:39.817698+00:00
43,patient_037,scrypt:32768:8:1$VEDJvHydZ0Ll0eEZ$4da2cda8232b59a056129e7c910dae9c92d7058b1462661af85255dcc0ec1a971d115fdef0ddcb77603befe18789804f7db0180bcda1e3cf4e143043634fbd09,False,False,雅萍,賴,other,patient_037@example.com,05 8184360,,U8bfe37e00f6642af89a690cd5eea2c81,2025-08-10T14:26:39.817698+00:00,2025-08-10T14:26:39.817698+00:00
44,patient_038,scrypt:32768:8:1$8aLfPGfTQnMzS0sO$40484b2b07d80971412ba217b667f8726f1aaafc3bb75b1d6c2dc891f41a8a8a54d78e31f53ee528705f501fe51b0dc4ee227ccd310c866908f3509a4f65d782,False,False,淑華,施,female,patient_038@example.com,09 9980118,,Ubf9ab11e7a50451f9d3839535a45e9f1,2025-08-10T14:26:39.817698+00:00,2025-08-10T14:26:39.817698+00:00
45,patient_039,scrypt:32768:8:1$UOGvWU0HHm71Mqd6$d73a2df7533a8c56b47e7a76efa812a952e645d36f757138b62ae8aa61dfd54e6f44477e096d33658317217c7bc938b52133c201b089ae50530a7e80edaf02c0,False,False,麗華,王,other,patient_039@example.com,00 8429572,,U73189c27907743488f0f57b6ca500e95,2025-08-10T14:26:39.817698+00:00,2025-08-10T14:26:39.817698+00:00
46,patient_040,scrypt:32768:8:1$NA1IWMaKWS5MRMoX$c076c495413d4d36ed84da92fd6129db65a994619fcef805dd5573bf34a83ff6f5ba9dbe3d3b55dc2ef102c9b2f409888522a8ec3556ce2d3ae55c0b9a2f438a,False,False,玉蘭,許,other,patient_040@example.com,0950-175114,,U8a703b7117774583955001385f4b8ed2,2025-08-10T14:26:39.817698+00:00,2025-08-10T14:26:39.817698+00:00
47,patient_041,scrypt:32768:8:1$DLCyojFUS7wVx8FJ$c2f29886eeb639c467f528e16305332b79bd4c0f390a0d2199224b4af8853bc96a73de2569f2e0e54c6a8603070998d99a89e6997ae49b053c9d1359e0ba32be,False,False,秋月,吳,male,patient_041@example.com,01 4407990,,Ua9404b7e759140bc8f84ff0e69df82ee,2025-08-10T14:26:39.817698+00:00,2025-08-10T14:26:39.817698+00:00
48,patient_042,scrypt:32768:8:1$DhpmJ7sIemsK3zxY$b3c46484b95930ed3160d83bcf7444c87168ae0b2c5a1f7ebca8719e273ddb366bfd491101cf2f4a7c31d2d0cb28ba1c864cb877b03fd8af7754e53c9a75c0ca,False,False,秋香,葉,female,patient_042@example.com,085 34529587,,U6620c35ad38b4d8a8eae591ccc353d5f,2025-08-10T14:26:39.817698+00:00,2025-08-10T14:26:39.817698+00:00
49,patient_043,scrypt:32768:8:1$Z3Zeu5hTMdwHMfDF$dc3b8d3d53468effd6f1895aaae958d386ec098f4d6862f85a61740ba49cf07aa70deb0f1ccc8b5f38908bc32b3b8645c6639147f638836957c6df7376df2b4a,False,False,麗珠,方,male,patient_043@example.com,(09) 16712602,,U7946040e99e04e558d077e45f8f6b61d,2025-08-10T14:26:39.817698+00:00,2025-08-10T14:26:39.817698+00:00
50,patient_044,scrypt:32768:8:1$jxrCr5u4Z9oBEmGn$343af79341fa1214ed063a9a1743873cecb066e09ad1a9eea519bfe9dec4dce5423918ad25899ee88bdc5adddd3987540dc6aa6482683aa8e5d04b6f5b5a506e,False,False,美華,謝,other,patient_044@example.com,05 8894359,,Uaa9c60c98c244bfbbb5394bc67394346,2025-08-10T14:26:39.817698+00:00,2025-08-10T14:26:39.817698+00:00
51,patient_045,scrypt:32768:8:1$dsBIHTK2mhP3P2JN$2b75ea4fddf234d101912fbcbc014936f5cc816beca3fb06084c689f484b21d5e1887cffed215187ca64f62873b135858f1e58b6664e58b649285c5b68099850,False,False,信宏,盧,male,patient_045@example.com,042 88006007,,U67f1d7ae3eda4c6294422e5eb01b6be6,2025-08-10T14:26:39.817698+00:00,2025-08-10T14:26:39.817698+00:00
52,patient_046,scrypt:32768:8:1$0iZYkUkwnfVghPOY$4647e23d60d08f89d56139da10ad4dd75606f014dca99e67ebfb54d3683ace6d50690a18347f9f6ef4016af8b5932c0713e41f0ab8368ebfdadfbbb9bde37fdd,False,False,秀霞,許,male,patient_046@example.com,(06) 81589122,,Uf4ce92e3a1d249eda42c909a1a7b55cd,2025-08-10T14:26:39.817698+00:00,2025-08-10T14:26:39.817698+00:00
53,patient_047,scrypt:32768:8:1$GIfEuOJnMDaVEoC6$ed35d9cc10b8b41acbba23b541372b9d150670a1a834b3f43e61c33f3de1159f792a5493787a2c01aefe428c322a105f70f7fcf18f669df86285650226a8d2ed,False,False,語彤,洪,other,patient_047@example.com,0908-099253,,U91d124a467a9477e94f81beecab45acf,2025-08-10T14:26:39.817698+00:00,2025-08-10T14:26:39.817698+00:00
54,patient_048,scrypt:32768:8:1$2HtaaYQh2lv3jBLC$d67b56a015ebd21a52dd839b74711ec8b453cb2cfb53ace6f8218317cfd08e68f47a8118bd585a340a2d21a6e34d49eadee1922fc626a5397ba102841d7fd7ee,False,False,俊宇,林,other,patient_048@example.com,(00) 81749283,,U28fda840cfe04455813c0daf4493e242,2025-08-10T14:26:39.817698+00:00,2025-08-10T14:26:39.817698+00:00
55,patient_049,scrypt:32768:8:1$Ymipkz4r7g4MsVmW$241ec8a410de64ae6cfb4007ac94c4ba987c0d9bea5d1a8c01640784b618118b594212ae075fed8aca8da899830cb40e60cbe11ee47a720cb8b5898babc42cf1,False,False,秀雲,徐,female,patient_049@example.com,03-2748002,,U23c9548d201a4e478eb7292d0a83e35b,2025-08-10T14:26:39.817698+00:00,2025-08-10T14:26:39.817698+00:00
56,patient_050,scrypt:32768:8:1$Hh7uFR29Atzjx8Vr$b3100be275ca419b286e42f7f2083d9252a1a9bceaee2aaa947b49ea23dad8f6622285ac4aca3a9669d0267003989b923c499894481ec2c18d9c52ea3269e98c,False,False,麗玲,吳,female,patient_050@example.com,08 5569802,,U2cc5d6c7d9fe4da691d75aca3be290ac,2025-08-10T14:26:39.817698+00:00,2025-08-10T14:26:39.817698+00:00
